title,link,date,location
http://www.fightmetric.com/fight-details/d1bee15e60ee6721,UFC Fight Night: Saint Preux vs. Okami,"September 22, 2017","Saitama, Saitama, Japan"
http://www.fightmetric.com/fight-details/e8d59c27b467d716,UFC Fight Night: Saint Preux vs. Okami,"September 22, 2017","Saitama, Saitama, Japan"
http://www.fightmetric.com/fight-details/ba27835ff05df0c9,UFC Fight Night: Saint Preux vs. Okami,"September 22, 2017","Saitama, Saitama, Japan"
http://www.fightmetric.com/fight-details/690ab86bdd94149b,UFC Fight Night: Saint Preux vs. Okami,"September 22, 2017","Saitama, Saitama, Japan"
http://www.fightmetric.com/fight-details/6be073563a421bca,UFC Fight Night: Saint Preux vs. Okami,"September 22, 2017","Saitama, Saitama, Japan"
http://www.fightmetric.com/fight-details/3b89556b3f177b7b,UFC Fight Night: Saint Preux vs. Okami,"September 22, 2017","Saitama, Saitama, Japan"
http://www.fightmetric.com/fight-details/296cc69bcc3c1635,UFC Fight Night: Saint Preux vs. Okami,"September 22, 2017","Saitama, Saitama, Japan"
http://www.fightmetric.com/fight-details/37cdf5bd5c975a5d,UFC Fight Night: Saint Preux vs. Okami,"September 22, 2017","Saitama, Saitama, Japan"
http://www.fightmetric.com/fight-details/da7afd49fefe6a46,UFC Fight Night: Saint Preux vs. Okami,"September 22, 2017","Saitama, Saitama, Japan"
http://www.fightmetric.com/fight-details/e0e4ce7595b5c26a,UFC Fight Night: Saint Preux vs. Okami,"September 22, 2017","Saitama, Saitama, Japan"
http://www.fightmetric.com/fight-details/24438a644b975751,UFC Fight Night: Rockhold vs. Branch,"September 16, 2017","Pittsburgh, Pennsylvania, USA"
http://www.fightmetric.com/fight-details/3dd22a9a0ea68cc6,UFC Fight Night: Rockhold vs. Branch,"September 16, 2017","Pittsburgh, Pennsylvania, USA"
http://www.fightmetric.com/fight-details/ff4cef86bef2d0aa,UFC Fight Night: Rockhold vs. Branch,"September 16, 2017","Pittsburgh, Pennsylvania, USA"
http://www.fightmetric.com/fight-details/128e818254ebfabe,UFC Fight Night: Rockhold vs. Branch,"September 16, 2017","Pittsburgh, Pennsylvania, USA"
http://www.fightmetric.com/fight-details/4c1fd940e1619e68,UFC Fight Night: Rockhold vs. Branch,"September 16, 2017","Pittsburgh, Pennsylvania, USA"
http://www.fightmetric.com/fight-details/7b80dd233e200dd2,UFC Fight Night: Rockhold vs. Branch,"September 16, 2017","Pittsburgh, Pennsylvania, USA"
http://www.fightmetric.com/fight-details/52e4f12eaeffd142,UFC Fight Night: Rockhold vs. Branch,"September 16, 2017","Pittsburgh, Pennsylvania, USA"
http://www.fightmetric.com/fight-details/7864fc46de247f58,UFC Fight Night: Rockhold vs. Branch,"September 16, 2017","Pittsburgh, Pennsylvania, USA"
http://www.fightmetric.com/fight-details/7094c05bf73eee81,UFC Fight Night: Rockhold vs. Branch,"September 16, 2017","Pittsburgh, Pennsylvania, USA"
http://www.fightmetric.com/fight-details/2ec12d4bbc0752db,UFC Fight Night: Rockhold vs. Branch,"September 16, 2017","Pittsburgh, Pennsylvania, USA"
