body,body_attempts,clinch,clinch_attempts,date,distance,distance_attempts,fight_id,ground,ground_attempts,head,head_attempts,kd,leg,leg_attempts,location,method,name,pass,referee,reversals,round,sig_attempts,sig_strikes,strike_attempts,strikes,sub_attempts,takedowns,td_attempts,title,win/loss
0,0,0,0,"September 22, 2017",0,0,0,0,0,0,0,0,0,0,"Saitama, Saitama, Japan",Submission,ERROR,3,Leon Roberts,0,1,0,0,3,3,1,0,0,UFC Fight Night: Saint Preux vs. Okami,ERROR
0,0,0,0,"September 22, 2017",0,0,0,0,0,0,0,0,0,0,"Saitama, Saitama, Japan",Submission,ERROR,0,Leon Roberts,0,1,0,0,0,0,1,0,1,UFC Fight Night: Saint Preux vs. Okami,ERROR
1,4,9,15,"September 22, 2017",30,71,1,3,5,41,87,0,0,0,"Saitama, Saitama, Japan",Decision,ERROR,0,John Sharp,0,3,91,42,96,47,2,0,7,UFC Fight Night: Saint Preux vs. Okami,ERROR
50,58,18,25,"September 22, 2017",45,107,1,78,109,83,175,0,8,8,"Saitama, Saitama, Japan",Decision,ERROR,5,John Sharp,0,3,241,141,355,242,0,4,7,UFC Fight Night: Saint Preux vs. Okami,ERROR
1,1,0,0,"September 22, 2017",2,3,2,0,0,1,2,0,0,0,"Saitama, Saitama, Japan",KO/TKO,ERROR,0,Steve Perceval,0,1,3,2,3,2,0,0,0,UFC Fight Night: Saint Preux vs. Okami,ERROR
2,2,0,0,"September 22, 2017",8,9,2,5,11,8,15,1,3,3,"Saitama, Saitama, Japan",KO/TKO,ERROR,0,Steve Perceval,0,1,20,13,20,13,0,0,0,UFC Fight Night: Saint Preux vs. Okami,ERROR
2,3,1,1,"September 22, 2017",39,65,3,0,0,35,60,2,3,3,"Saitama, Saitama, Japan",KO/TKO,ERROR,0,Greg Kleynjans,0,1,66,40,66,40,0,0,0,UFC Fight Night: Saint Preux vs. Okami,ERROR
4,5,8,8,"September 22, 2017",12,37,3,0,0,16,40,0,0,0,"Saitama, Saitama, Japan",KO/TKO,ERROR,0,Greg Kleynjans,0,1,45,20,46,21,0,0,1,UFC Fight Night: Saint Preux vs. Okami,ERROR
6,8,2,2,"September 22, 2017",25,59,4,23,37,32,77,1,12,13,"Saitama, Saitama, Japan",Decision,ERROR,2,John Sharp,0,3,98,50,127,77,0,2,6,UFC Fight Night: Saint Preux vs. Okami,ERROR
15,21,13,13,"September 22, 2017",33,68,4,2,4,30,61,0,3,3,"Saitama, Saitama, Japan",Decision,ERROR,0,John Sharp,0,3,85,48,89,52,0,0,0,UFC Fight Night: Saint Preux vs. Okami,ERROR
1,1,0,0,"September 22, 2017",9,22,5,0,0,6,18,0,2,3,"Saitama, Saitama, Japan",Submission,ERROR,4,Leon Roberts,0,1,22,9,27,12,2,1,1,UFC Fight Night: Saint Preux vs. Okami,ERROR
9,13,2,2,"September 22, 2017",14,30,5,0,0,6,16,0,1,3,"Saitama, Saitama, Japan",Submission,ERROR,0,Leon Roberts,0,1,32,16,54,36,0,0,0,UFC Fight Night: Saint Preux vs. Okami,ERROR
14,22,0,1,"September 22, 2017",27,85,6,0,0,11,60,0,2,4,"Saitama, Saitama, Japan",Decision,ERROR,2,Greg Kleynjans,0,3,86,27,88,29,0,2,2,UFC Fight Night: Saint Preux vs. Okami,ERROR
3,6,1,1,"September 22, 2017",37,122,6,0,0,32,113,0,3,4,"Saitama, Saitama, Japan",Decision,ERROR,0,Greg Kleynjans,0,3,123,38,124,39,0,0,0,UFC Fight Night: Saint Preux vs. Okami,ERROR
