title,link,date,location
UFC Fight Night: Saint Preux vs. Okami,http://www.fightmetric.com/fight-details/d1bee15e60ee6721,"September 22, 2017","Saitama, Saitama, Japan"
UFC Fight Night: Saint Preux vs. Okami,http://www.fightmetric.com/fight-details/e8d59c27b467d716,"September 22, 2017","Saitama, Saitama, Japan"
UFC Fight Night: Saint Preux vs. Okami,http://www.fightmetric.com/fight-details/ba27835ff05df0c9,"September 22, 2017","Saitama, Saitama, Japan"
UFC Fight Night: Saint Preux vs. Okami,http://www.fightmetric.com/fight-details/690ab86bdd94149b,"September 22, 2017","Saitama, Saitama, Japan"
UFC Fight Night: Saint Preux vs. Okami,http://www.fightmetric.com/fight-details/6be073563a421bca,"September 22, 2017","Saitama, Saitama, Japan"
UFC Fight Night: Saint Preux vs. Okami,http://www.fightmetric.com/fight-details/3b89556b3f177b7b,"September 22, 2017","Saitama, Saitama, Japan"
UFC Fight Night: Saint Preux vs. Okami,http://www.fightmetric.com/fight-details/296cc69bcc3c1635,"September 22, 2017","Saitama, Saitama, Japan"
UFC Fight Night: Saint Preux vs. Okami,http://www.fightmetric.com/fight-details/37cdf5bd5c975a5d,"September 22, 2017","Saitama, Saitama, Japan"
UFC Fight Night: Saint Preux vs. Okami,http://www.fightmetric.com/fight-details/da7afd49fefe6a46,"September 22, 2017","Saitama, Saitama, Japan"
UFC Fight Night: Saint Preux vs. Okami,http://www.fightmetric.com/fight-details/e0e4ce7595b5c26a,"September 22, 2017","Saitama, Saitama, Japan"
UFC Fight Night: Rockhold vs. Branch,http://www.fightmetric.com/fight-details/24438a644b975751,"September 16, 2017","Pittsburgh, Pennsylvania, USA"
UFC Fight Night: Rockhold vs. Branch,http://www.fightmetric.com/fight-details/3dd22a9a0ea68cc6,"September 16, 2017","Pittsburgh, Pennsylvania, USA"
UFC Fight Night: Rockhold vs. Branch,http://www.fightmetric.com/fight-details/ff4cef86bef2d0aa,"September 16, 2017","Pittsburgh, Pennsylvania, USA"
UFC Fight Night: Rockhold vs. Branch,http://www.fightmetric.com/fight-details/128e818254ebfabe,"September 16, 2017","Pittsburgh, Pennsylvania, USA"
UFC Fight Night: Rockhold vs. Branch,http://www.fightmetric.com/fight-details/4c1fd940e1619e68,"September 16, 2017","Pittsburgh, Pennsylvania, USA"
UFC Fight Night: Rockhold vs. Branch,http://www.fightmetric.com/fight-details/7b80dd233e200dd2,"September 16, 2017","Pittsburgh, Pennsylvania, USA"
UFC Fight Night: Rockhold vs. Branch,http://www.fightmetric.com/fight-details/52e4f12eaeffd142,"September 16, 2017","Pittsburgh, Pennsylvania, USA"
UFC Fight Night: Rockhold vs. Branch,http://www.fightmetric.com/fight-details/7864fc46de247f58,"September 16, 2017","Pittsburgh, Pennsylvania, USA"
UFC Fight Night: Rockhold vs. Branch,http://www.fightmetric.com/fight-details/7094c05bf73eee81,"September 16, 2017","Pittsburgh, Pennsylvania, USA"
UFC Fight Night: Rockhold vs. Branch,http://www.fightmetric.com/fight-details/2ec12d4bbc0752db,"September 16, 2017","Pittsburgh, Pennsylvania, USA"
UFC 215: Nunes vs Shevchenko 2,http://www.fightmetric.com/fight-details/cb16346d93746ebc,"September 09, 2017","Edmonton, Alberta, Canada"
UFC 215: Nunes vs Shevchenko 2,http://www.fightmetric.com/fight-details/b6082b551288aa5a,"September 09, 2017","Edmonton, Alberta, Canada"
UFC 215: Nunes vs Shevchenko 2,http://www.fightmetric.com/fight-details/fdde8777c7ae9769,"September 09, 2017","Edmonton, Alberta, Canada"
